pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3226800461,21,0,21,0.0,25,0,25,0.0,17,0,17,0.0,,False,False,False
3229176248,1,0,1,0.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3229333583,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3229710961,2,0,2,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3229732955,2,0,2,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3230307499,5,1,4,20.0,1,0,1,0.0,0,0,0,0.0,,True,True,False
3230351703,8,0,8,0.0,5,0,5,0.0,0,0,0,0.0,,True,False,False
3159415433,1,0,1,0.0,0,0,0,0.0,4,2,2,50.0,,False,True,False
3160495699,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3160647911,21,0,21,0.0,1,1,0,100.0,6,1,5,16.666666666666664,,False,True,False
3160653118,6,0,6,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3160894112,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3161355858,4,0,4,0.0,0,0,0,0.0,0,0,0,0.0,,True,False,False
3161358535,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3163243464,1,0,1,0.0,2,2,0,100.0,3,2,1,66.66666666666666,,True,True,False
3164250713,27,0,27,0.0,0,0,0,0.0,2,2,0,100.0,,True,True,False
3164258008,1,0,1,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3164310340,2,0,2,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3274362044,13,0,13,0.0,8,8,0,100.0,0,0,0,0.0,,False,True,False
3274741142,4,0,4,0.0,0,0,0,0.0,0,0,0,0.0,,False,False,False
3274969873,1,0,1,0.0,0,0,0,0.0,1,1,0,100.0,,False,True,False
3275029115,5,3,2,60.0,1,0,1,0.0,0,0,0,0.0,,True,True,False
3275097396,1,0,1,0.0,1,0,1,0.0,0,0,0,0.0,,False,False,False
3275134373,4,2,2,50.0,1,1,0,100.0,1,1,0,100.0,,False,True,False
