pr_id,total_commits,ai_commits,human_commits,ai_commits_percentage,total_comments,ai_comments,human_comments,ai_comments_percentage,total_reviews,ai_reviews,human_reviews,ai_reviews_percentage,time_to_merge_hours,has_related_issue,has_ai_involvement,is_merged
3234115546,8,5,3,62.5,4,2,2,50.0,3,1,2,33.33333333333333,,True,True,False
3234121023,3,3,0,100.0,0,0,0,0.0,1,0,1,0.0,,False,True,False
3234138504,3,3,0,100.0,4,2,2,50.0,4,1,3,25.0,,True,True,False
3234152217,14,5,9,35.714285714285715,4,2,2,50.0,3,2,1,66.66666666666666,,True,True,False
3234170949,3,3,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3234200031,5,5,0,100.0,1,1,0,100.0,2,0,2,0.0,,True,True,False
3234203382,3,3,0,100.0,2,1,1,50.0,1,0,1,0.0,,True,True,False
3261928264,4,4,0,100.0,2,2,0,100.0,8,6,2,75.0,,False,True,False
3190424487,12,12,0,100.0,2,2,0,100.0,18,11,7,61.111111111111114,,True,True,False
3190486831,5,4,1,80.0,4,2,2,50.0,2,0,2,0.0,,True,True,False
3190514750,6,6,0,100.0,9,5,4,55.55555555555556,0,0,0,0.0,,True,True,False
3190536492,5,4,1,80.0,4,2,2,50.0,5,1,4,20.0,,True,True,False
3190548666,3,3,0,100.0,0,0,0,0.0,6,5,1,83.33333333333334,,True,True,False
3190568208,4,3,1,75.0,0,0,0,0.0,5,4,1,80.0,,True,True,False
3190580432,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3190587739,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3190591891,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3190592102,1,1,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3190608451,18,5,13,27.77777777777778,0,0,0,0.0,7,3,4,42.857142857142854,,False,True,False
3190612638,11,9,2,81.81818181818183,8,5,3,62.5,5,2,3,40.0,,True,True,False
3190612959,12,11,1,91.66666666666666,14,8,6,57.14285714285714,9,4,5,44.44444444444444,,True,True,False
3190616003,5,5,0,100.0,2,1,1,50.0,2,1,1,50.0,,True,True,False
3081695764,5,5,0,100.0,3,1,2,33.33333333333333,14,5,9,35.714285714285715,,True,True,False
3081705392,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,True,True,False
3081715193,4,3,1,75.0,0,0,0,0.0,9,4,5,44.44444444444444,,True,True,False
3081719238,6,6,0,100.0,0,0,0,0.0,10,5,5,50.0,,True,True,False
3081726196,2,2,0,100.0,1,0,1,0.0,6,1,5,16.666666666666664,,True,True,False
3081726892,4,3,1,75.0,0,0,0,0.0,3,1,2,33.33333333333333,,True,True,False
3081738226,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3081741730,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3081744530,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3081770176,14,8,6,57.14285714285714,7,2,5,28.57142857142857,26,11,15,42.30769230769231,,True,True,False
3081797109,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3081803622,3,3,0,100.0,8,3,5,37.5,0,0,0,0.0,,True,True,False
3081816195,3,3,0,100.0,2,2,0,100.0,1,1,0,100.0,,True,True,False
3081816409,3,3,0,100.0,2,1,1,50.0,2,1,1,50.0,,True,True,False
3081821271,14,12,2,85.71428571428571,17,8,9,47.05882352941176,4,2,2,50.0,,False,True,False
3081843650,1,1,0,100.0,1,1,0,100.0,0,0,0,0.0,,True,True,False
3081858153,5,5,0,100.0,4,3,1,75.0,1,0,1,0.0,,True,True,False
3081925002,4,3,1,75.0,5,3,2,60.0,3,1,2,33.33333333333333,,True,True,False
3081978815,9,9,0,100.0,7,4,3,57.14285714285714,9,4,5,44.44444444444444,,True,True,False
3081992708,6,6,0,100.0,6,3,3,50.0,2,1,1,50.0,,False,True,False
3081999258,5,5,0,100.0,4,1,3,25.0,7,4,3,57.14285714285714,,True,True,False
3082009689,2,2,0,100.0,3,2,1,66.66666666666666,0,0,0,0.0,,False,True,False
3082019461,9,9,0,100.0,3,2,1,66.66666666666666,7,4,3,57.14285714285714,,True,True,False
3082038772,2,2,0,100.0,0,0,0,0.0,0,0,0,0.0,,False,True,False
3082070083,29,14,15,48.275862068965516,4,3,1,75.0,30,16,14,53.333333333333336,,True,True,False
